City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,19.24,54,70,2.51,RU,1690348005
1,polyarnyy,69.1989,33.4478,10.86,92,99,2.53,RU,1690348005
2,grytviken,-54.2811,-36.5092,-3.11,84,88,4.36,GS,1690348005
3,edinburgh of the seven seas,-37.0676,-12.3116,10.64,62,100,8.77,SH,1690348005
4,black river,18.0264,-77.8487,25.97,85,75,1.74,JM,1690348005
5,floro,61.5996,5.0328,13.98,94,40,2.57,NO,1690348006
6,rumonge,-3.9736,29.4386,22.85,50,18,1.33,BI,1690348006
7,taft,31.7471,54.2088,33.97,11,40,1.03,IR,1690348006
8,pisco,-13.7,-76.2167,16.12,82,0,1.03,PE,1690348006
9,east ballina,-28.8667,153.5833,17.67,64,65,4.79,AU,1690348006
10,waingapu,-9.6567,120.2641,26.73,60,34,6.52,ID,1690348006
11,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,56,20,6.0,RU,1690348006
12,halifax,44.6453,-63.5724,20.0,91,32,7.2,CA,1690347720
13,letlhakane,-21.4167,25.5833,11.11,88,1,5.68,BW,1690348006
14,conceicao da barra,-18.5933,-39.7322,21.34,90,77,3.1,BR,1690348006
15,nieuw amsterdam,5.8833,-55.0833,25.57,90,79,2.55,SR,1690348007
16,chonchi,-42.6128,-73.8092,6.73,95,59,0.95,CL,1690348007
17,saqqez,36.2499,46.2735,23.47,48,0,1.84,IR,1690348007
18,howard springs,-12.497,131.047,26.95,23,27,1.26,AU,1690348007
19,ribeira grande,38.5167,-28.7,20.43,87,6,0.45,PT,1690348007
20,port-aux-francais,-49.35,70.2167,3.34,96,88,13.52,TF,1690348007
21,blackmans bay,-43.0167,147.3167,15.07,67,99,2.2,AU,1690348007
22,udachny,66.4167,112.4,21.36,56,100,4.1,RU,1690348007
23,south hedland,-20.4089,118.5983,24.96,25,6,6.17,AU,1690348008
24,longyearbyen,78.2186,15.6401,10.91,54,0,4.63,SJ,1690348008
25,yellowknife,62.456,-114.3525,19.71,36,98,7.17,CA,1690348008
26,lubumbashi,-11.6609,27.4794,11.86,57,61,1.93,CD,1690348008
27,adamstown,-25.066,-130.1015,22.29,77,98,16.45,PN,1690348008
28,waitangi,-43.9535,-176.5597,10.67,72,99,10.6,NZ,1690348008
29,doka,13.5167,35.7667,22.17,85,100,3.55,SD,1690348008
30,baharly,38.4362,57.4316,35.23,34,0,0.95,TM,1690348008
31,margate,51.3813,1.3862,12.05,84,12,0.89,GB,1690347678
32,wailua homesteads,22.0669,-159.378,27.24,86,100,6.17,US,1690348008
33,ushuaia,-54.8,-68.3,0.81,86,0,9.77,AR,1690348008
34,gadzhiyevo,69.2551,33.3362,10.68,93,99,2.83,RU,1690348009
35,invercargill,-46.4,168.35,7.58,72,94,4.59,NZ,1690348009
36,bethel,41.3712,-73.414,19.55,90,100,0.0,US,1690348009
37,aracuai,-16.8497,-42.0703,18.04,93,3,1.1,BR,1690348009
38,vorgashor,67.5833,63.95,20.48,65,100,3.7,RU,1690348009
39,selfoss,63.9331,-20.9971,10.58,85,100,2.04,IS,1690348009
40,okhotsk,59.3833,143.3,18.23,74,100,4.36,RU,1690348009
41,la ronge,55.1001,-105.2842,15.08,98,87,2.52,CA,1690348009
42,iqaluit,63.7506,-68.5145,5.39,93,100,2.59,CA,1690348009
43,lompoc,34.6391,-120.4579,20.08,91,100,2.06,US,1690347723
44,lao cai,22.4833,103.95,35.34,53,96,0.82,VN,1690348009
45,ancud,-41.8697,-73.8203,6.72,88,28,0.2,CL,1690347823
46,vuktyl,63.8567,57.3094,20.27,58,10,1.66,RU,1690348010
47,papatowai,-46.5619,169.4708,7.44,67,78,4.52,NZ,1690348010
48,thunder bay,48.4001,-89.3168,16.99,82,75,1.54,CA,1690347830
49,dedougou,12.4667,-3.4667,25.35,76,15,2.94,BF,1690348010
50,porto novo,6.4965,2.6036,24.04,95,37,1.88,BJ,1690348010
51,egilsstadir,65.2653,-14.3948,5.95,93,75,0.51,IS,1690348010
52,aral,40.5156,81.2636,34.33,20,29,2.49,CN,1690347921
53,vadso,70.0744,29.7487,10.49,93,75,2.57,NO,1690348010
54,neiafu,-18.65,-173.9833,24.38,69,75,0.0,TO,1690348011
